AnswerID,Text_KR,Text_EN,NextTextID,AnswerReward_Skill,Font_Direction
100044,‘전방 폭격’을 받아들이지 않는다.,,Null,Null,2000001
100045,민간인 피해에 대한 고민,,10024,Null,2000001
100046,선을 넘는 것은 아닌가에 대한 고민,,10026,Null,2000001
100047,“네. 무엇입니까?”,,10025,Null,2000001
100048,“네. 부탁합니다.”,,10025,Null,2000001
100049,‘전방 폭격’을 받아들인다.,,Null,2000002,2000001
100050,‘전방 폭격’을 받아들이지 않는다.,,Null,Null,2000001
100051,침묵한다.,,10027,Null,2000001
100052,공감한다.,,10027,Null,2000001
100053,‘전방 폭격’을 받아들인다.,,Null,2000002,2000001
100054,‘전방 폭격’을 받아들이지 않는다.,,Null,Null,2000001
100055,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10029,Null,2000001
100056,“어떤 분 입니까?”,,10029,Null,2000001
100057,“쟈펜이.. 연합국?”,,10030,Null,2000001
100058,“그건 또 무슨 말입니까?”,,10030,Null,2000001
100059,먼저 악수를 청한다.,,10031,Null,2000001
100060,권총집에 손을 올린다.,,10032,Null,2000001
100061,“어찌 된 것인지 몰라도..”,,10033,Null,2000001
100062,“일단 손님이 이니까요.”,,10033,Null,2000001
100063,“일단 이야기를 들어 보죠.”,,10033,Null,2000001
100064,권총집에서 손을 천천히 땐다.,,10033,Null,2000001
100065,“그 말을 믿는다고 칩시다.”,,10034,Null,2000001
100066,“이곳에 온 이유는 뭡니까?”,,10034,Null,2000001
100067,부작용에 대해 묻는다.,,10035,Null,2000001
100068,믿을 수 있는지 묻는다.,,10037,Null,2000001
100069,“그건 위험한 것 아닙니까?”,,10036,Null,2000001
100070,“리스크가 너무 큰 것 아닙니까?”,,10036,Null,2000001
100071,‘자극제 투여’를 받아들인다.,,Null,2000003,2000001
100072,‘자극제 투여’를 받아들이지 않는다.,,Null,Null,2000001
100073,“둘 다 입니다.”,,10038,Null,2000001
100074,“약물에 대한 것 입니다.”,,10039,Null,2000001
100075,‘자극제 투여’를 받아들인다.,,Null,2000003,2000001
100076,‘자극제 투여’를 받아들이지 않는다.,,Null,Null,2000001
100077,‘자극제 투여’를 받아들인다.,,Null,2000003,2000001
100078,‘자극제 투여’를 받아들이지 않는다.,,Null,Null,2000001
100079,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10041,Null,2000001
100080,“어떤 분 입니까?”,,10041,Null,2000001
100081,“그 존함이..”,,10042,Null,2000001
100082,“존함이 어떻게 되십니까?”,,10042,Null,2000001
100083,“아.. 그렇군요.”,,10043,Null,2000001
100084,“여기 찾아오신 이유가..”,,10043,Null,2000001
100085,강화탄 프로토타입을 책상 위에 올려 놓는다.,,10044,Null,2000001
100086,강화탄 설계도를 책상 위에 펼친다.,,10044,Null,2000001
100087,탄속,,10045,Null,2000001
100088,화력,,10049,Null,2000001
100089,“탄환이 작아야..”,,10046,Null,2000001
100090,“더 빠른거 아닙니까?”,,10046,Null,2000001
100091,안정성에 대해 묻는다.,,10047,Null,2000001
100092,다른 보완점에 대해 묻는다.,,10048,Null,2000001
100093,‘강화탄 보급’를 받아들인다.,,Null,2000004,2000001
100094,‘강화탄 보급’를 받아들이지 않는다.,,Null,Null,2000001
100095,‘강화탄 보급’를 받아들인다.,,Null,2000004,2000001
100096,‘강화탄 보급’를 받아들이지 않는다.,,Null,Null,2000001
100097,“그렇습니다.”,,10050,Null,2000001
100098,“방법이 있을까요?”,,10050,Null,2000001
100099,인체 체온에 반응하여 터지는 기술,,10051,Null,2000001
100100,열을 받으면 일정 시간 후 터지는 기술,,10052,Null,2000001
100101,‘강화탄 보급’를 받아들인다.,,Null,2000004,2000001
100102,‘강화탄 보급’를 받아들이지 않는다.,,Null,Null,2000001
100103,‘강화탄 보급’를 받아들인다.,,Null,2000004,2000001
100104,‘강화탄 보급’를 받아들이지 않는다.,,Null,Null,2000001
100105,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10054,Null,2000001
100106,“어떤 분 입니까?”,,10054,Null,2000001
100107,“반갑습니다.”,,10055,Null,2000001
100108,“저는 프란츠의 지휘관..”,,10055,Null,2000001
100109,“지금 아프리카 전선에 계시는 것으로 압니다만..”,,10056,Null,2000001
100110,‘지금 모습보다 더 젊었던 것 같은데..’,,10056,Null,2000001
100111,“미래의..”,,10057,Null,2000001
100112,“그런게 가능합니까?”,,10057,Null,2000001
100113,적진의 병력이 아군 보다 많음을 알린다.,,10058,Null,2000001
100114,아군 병사들의 사기 저하를 알린다.,,10062,Null,2000001
100115,“저희 부대에는..”,,10059,Null,2000001
100116,“강한 화력이 있습니다.”,,10059,Null,2000001
100117,포병을 더 추가 배치한다.,,10060,Null,2000001
100118,자주포 부대를 파견 받는다.,,10061,Null,2000001
100119,‘회심의 반격’을 받아들인다.,,Null,2000005,2000001
100120,‘회심의 반격’을 받아들이지 않는다.,,Null,Null,2000001
100121,‘회심의 반격’을 받아들인다.,,Null,2000005,2000001
100122,‘회심의 반격’을 받아들이지 않는다.,,Null,Null,2000001
100123,공세 위주의 전략,,10063,Null,2000001
100124,방어 위주의 전략,,10066,Null,2000001
100125,있다.,,10064,Null,2000001
100126,없다.,,10065,Null,2000001
100127,‘회심의 반격’을 받아들인다.,,Null,2000005,2000001
100128,‘회심의 반격’을 받아들이지 않는다.,,Null,Null,2000001
100129,‘회심의 반격’을 받아들인다.,,Null,2000005,2000001
100130,‘회심의 반격’을 받아들이지 않는다.,,Null,Null,2000001
100131,“그게 무엇입니까?”,,10067,Null,2000001
100132,“출혈 전략이란게..?”,,10067,Null,2000001
100133,‘회심의 반격’을 받아들인다.,,Null,2000005,2000001
100134,‘회심의 반격’을 받아들이지 않는다.,,Null,Null,2000001
100135,“반갑습니다.”,,10069,Null,2000001
100136,“저는 프란츠의 지휘관..”,,10069,Null,2000001
100137,“프란츠에 그런..”,,10070,Null,2000001
100138,“부대가 있었나..?”,,10070,Null,2000001
100139,“그렇군요.”,,10071,Null,2000001
100140,“반갑습니다.”,,10071,Null,2000001
100141,“뭐.. 박사가 그동안..”,,10072,Null,2000001
100142,“워낙 많은걸 보여줬습니다.”,,10072,Null,2000001
100143,“포로 확보를 최우선으로 하는 것 입니다.”,,10073,Null,2000001
100144,“시설 타격과 무력화가 최우선 입니다.”,,10079,Null,2000001
100145,적의 무장에 대해 알려준다.,,10074,Null,2000001
100146,시설의 설계도를 보여준다.,,10076,Null,2000001
100147,“그렇다면 아군은..”,,10075,Null,2000001
100148,“펄스건이 아닌 코일건으로 무장해야 겠군요.”,,10075,Null,2000001
100149,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100150,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100151,침투 인원에 대해 논의한다.,,10077,Null,2000001
100152,침투 방식에 대해 논의한다.,,10078,Null,2000001
100153,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100154,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100155,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100156,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100157,시설 정보를 보여준다.,,10080,Null,2000001
100158,시설 내에서 확보해야 하는 대상을 알려준다.,,10082,Null,2000001
100159,“그렇다면 침투 위치는..”,,10081,Null,2000001
100160,“어디로 하는 것이 좋겠습니까?”,,10081,Null,2000001
100161,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100162,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100163,알고있다.,,10083,Null,2000001
100164,모른다.,,10084,Null,2000001
100165,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100166,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100167,‘진압 포메이션’을 받아들인다.,,Null,2000006,2000001
100168,‘진압 포메이션’을 받아들이지 않는다.,,Null,Null,2000001
100169,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10086,Null,2000001
100170,“어떤 분 입니까?”,,10086,Null,2000001
100171,“반갑습니다.”,,10087,Null,2000001
100172,“잘 부탁드립니다.”,,10087,Null,2000001
100173,“박사와 친하신가 보군요.”,,10088,Null,2000001
100174,“박사를 잘 아시나 보군요.”,,10088,Null,2000001
100175,보조 장비를 보여준다.,,10089,Null,2000001
100176,무기들을 보여준다.,,10094,Null,2000001
100177,“이건 무슨 장비 입니까?”,,10090,Null,2000001
100178,“이건 무엇 입니까?”,,10090,Null,2000001
100179,“어떻게 사용하는 것 입니까?”,,10091,Null,2000001
100180,“사용법이 어떻게 됩니까?”,,10091,Null,2000001
100181,개선 방안을 물어본다.,,10092,Null,2000001
100182,출력을 더 높일 방법을 물어본다.,,10093,Null,2000001
100183,‘비상용 과부하 모드’를 받아들인다.,,Null,2000007,2000001
100184,‘비상용 과부하 모드’를 받아들이지 않는다.,,Null,Null,2000001
100185,‘비상용 과부하 모드’를 받아들인다.,,Null,2000007,2000001
100186,‘비상용 과부하 모드’를 받아들이지 않는다.,,Null,Null,2000001
100187,“이건 무슨 무기 입니까?”,,10095,Null,2000001
100188,“이건 무엇 입니까?”,,10095,Null,2000001
100189,개선 방안을 물어본다.,,10096,Null,2000001
100190,출력을 더 높일 방법을 물어본다.,,10098,Null,2000001
100191,“그렇다면 출력을..”,,10097,Null,2000001
100192,“출력을 높일 수 있나요?”,,10097,Null,2000001
100193,‘비상용 과부하 모드’를 받아들인다.,,Null,2000007,2000001
100194,‘비상용 과부하 모드’를 받아들이지 않는다.,,Null,Null,2000001
100195,방법을 묻는다.,,10099,Null,2000001
100196,안정성을 포기한다면?,,10100,Null,2000001
100197,‘비상용 과부하 모드’를 받아들인다.,,Null,2000007,2000001
100198,‘비상용 과부하 모드’를 받아들이지 않는다.,,Null,Null,2000001
100199,‘비상용 과부하 모드’를 받아들인다.,,Null,2000007,2000001
100200,‘비상용 과부하 모드’를 받아들이지 않는다.,,Null,Null,2000001
100201,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10102,Null,2000001
100202,“어떤 분 입니까?”,,10102,Null,2000001
100203,옆을 돌아보니..,,10103,Null,2000001
100204,하얀 터번을 쓴 사내가 서있다.,,10103,Null,2000001
100205,“네 반갑습니다.”,,10104,Null,2000001
100206,“저는 프란츠의 지휘관..”,,10104,Null,2000001
100207,“어떤 훈련을 도와주실지..”,,10105,Null,2000001
100208,“여쭤봐도 괜찮을까요?”,,10105,Null,2000001
100209,“일단 병사들을..”,,10106,Null,2000001
100210,“소집하겠습니다.”,,10106,Null,2000001
100211,훈련 과정을 지켜본다.,,10107,Null,2000001
100212,훈련을 전적으로 맡긴다.,,10110,Null,2000001
100213,훈련을 잠시 종료한다.,,10108,Null,2000001
100214,훈련을 계속하게 둔다.,,10109,Null,2000001
100215,‘암습’을 받아들인다.,,Null,2000008,2000001
100216,‘암습’을 받아들이지 않는다.,,Null,Null,2000001
100217,‘암습’을 받아들인다.,,Null,2000008,2000001
100218,‘암습’을 받아들이지 않는다.,,Null,Null,2000001
100219,‘뭐.. 문제 없겠지.’,,10111,Null,2000001
100220,‘알아서 잘 하겠지.’,,10111,Null,2000001
100221,‘암습’을 받아들인다.,,Null,2000008,2000001
100222,‘암습’을 받아들이지 않는다.,,Null,Null,2000001
100223,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10113,Null,2000001
100224,“어떤 분 입니까?”,,10113,Null,2000001
100225,“반갑습니다.”,,10114,Null,2000001
100226,“저는 프란츠의 지휘관..”,,10114,Null,2000001
100227,“잘부탁드립니다.”,,10115,Null,2000001
100228,“정확히 어떤 일을 하시는 분입니까?”,,10115,Null,2000001
100229,“맞습니다.”,,10116,Null,2000001
100230,“한 눈에 알아 보시는 군요.”,,10116,Null,2000001
100231,“뭔가 보이는게 있으십니까?”,,10117,Null,2000001
100232,“뭔가 생각나는 것이 있으십니까?”,,10117,Null,2000001
100233,“그렇게 해야 제가 살 수 있는 것 아닙니까?”,,10118,Null,2000001
100234,“갑자기 그게 무슨 말씀 입니까?”,,10121,Null,2000001
100235,“어디를 내어줘야 하겠습니까?”,,10119,Null,2000001
100236,"“모든 병사가 소중한데..
어찌 내어 줄 수 있습니까?”",,10120,Null,2000001
100237,‘희생양’을 받아들인다.,,Null,2000009,2000001
100238,‘희생양’을 받아들이지 않는다.,,Null,Null,2000001
100239,‘희생양’을 받아들인다.,,Null,2000009,2000001
100240,‘희생양’을 받아들이지 않는다.,,Null,Null,2000001
100241,“지금 중요하지 않은 곳이 없습니다.”,,10122,Null,2000001
100242,"“전략 적으로.. 이곳을 내주어
유인을 하자는 이야기 입니까?”",,10123,Null,2000001
100243,‘희생양’을 받아들인다.,,Null,2000009,2000001
100244,‘희생양’을 받아들이지 않는다.,,Null,Null,2000001
100245,‘희생양’을 받아들인다.,,Null,2000009,2000001
100246,‘희생양’을 받아들이지 않는다.,,Null,Null,2000001
100247,“박사. 갑자기 사람을 소개시켜 준다는 게..”,,10125,Null,2000001
100248,“어떤 분 입니까?”,,10125,Null,2000001
100249,“잘 부탁드립니다.”,,10126,Null,2000001
100250,“먼곳까지 오시느라 고생하셨습니다.”,,10126,Null,2000001
100251,“이곳까지 와주신 이유가..”,,10127,Null,2000001
100252,“와주신 이유가 무엇입니까?”,,10127,Null,2000001
100253,“사람들을 열광하게 한다..”,,10128,Null,2000001
100254,“좋은 아이디어가 있습니까?”,,10128,Null,2000001
100255,“일단 한번 부대를 둘러 보시겠습니까?”,,10129,Null,2000001
100256,“그 동안의 사기 증진 방법을 보시겠습니까?”,,10133,Null,2000001
100257,“주로 연설을 하거나..”,,10130,Null,2000001
100258,“전달 사항을 알릴 때 사용합니다.”,,10130,Null,2000001
100259,“무엇때문에 그러십니까?”,,10131,Null,2000001
100260,“그럴 여력이 되지 않습니다.”,,10132,Null,2000001
100261,‘사기 증진’을 받아들인다.,,Null,2000010,2000001
100262,‘사기 증진’을 받아들이지 않는다.,,Null,Null,2000001
100263,‘사기 증진’을 받아들인다.,,Null,2000010,2000001
100264,‘사기 증진’을 받아들이지 않는다.,,Null,Null,2000001
100265,“다른 아이디어가 있으십니까?”,,10134,Null,2000001
100266,“지금 다른 방식을 생각할 여력이 되지 않습니다.”,,10137,Null,2000001
100267,“그렇게 한다면 사기가 오를까요?”,,10135,Null,2000001
100268,“그건 어려울 것 같습니다.”,,10136,Null,2000001
100269,‘사기 증진’을 받아들인다.,,Null,2000010,2000001
100270,‘사기 증진’을 받아들이지 않는다.,,Null,Null,2000001
100271,‘사기 증진’을 받아들인다.,,Null,2000010,2000001
100272,‘사기 증진’을 받아들이지 않는다.,,Null,Null,2000001
100273,“그래주시면..”,,10138,Null,2000001
100274,“감사하겠습니다.”,,10138,Null,2000001
100275,‘사기 증진’을 받아들인다.,,Null,2000010,2000001
100276,‘사기 증진’을 받아들이지 않는다.,,Null,Null,2000001
