ID,EndingString,PlayThrough,Karma_Rate,EndingCutScene_ID,BG_ID,SFX_ID,Text_Kr,Text_En,Direction,Fade_Out_Color
80016,2,1001,2000,,100000004,,“그렇지. 나도 희생을 강요하려는 건 아냐. 그렇지만 아쉽다.. 이거지.”,,,
80017,2,1001,2000,,100000004,,그렇게 강변을 걸으며 한참 이야기하던 박사는 길 옆의 커피숍을 가리키며 자신이 사겠다고 하며 들어간다.,,,
80018,2,1001,2000,,100000004,,“박사. 제가 사겠습니다.”,,,
80019,2,1001,2000,,100000004,,“아냐. 아냐. 솔베이에서 버는 돈이 꽤 쏠쏠한 편이야.,,,
80020,2,1001,2000,,100000004,,“그래서 절 찾아온 이유가 있을 것이라고 생각합니다.”,,,
80021,2,1001,2000,,100000004,,“역시 눈치가 빠르구만. 지휘관.”,,,
80022,2,1001,2000,,100000004,,박사는 내눈을 지긋이 보다가 말했다.,,,
80023,2,1001,2000,,100000004,,“사실 뭐 자네의 의견을 존중할 생각이네. 난 자네를 다시 과거로 보내고 싶네.”,,,
80024,2,1001,2000,,100000004,,“무엇때문에요?”,,,
80025,2,1001,2000,,100000004,,“지휘관이라면 내 궁극적인 목표를 이뤄줄 수 있을 것 같거든.”,,,
80026,2,1001,2000,,100000004,,“그게 뭡니까? 궁극적인 목표라니.”,,,
80027,2,1001,2000,,100000004,,“히히..헤헤헤하하하.. 그걸 알면 자네.. 그대로 하려고 하지 않겠나?”,,,
80028,2,1001,2000,,100000004,,“뭐.. 어차피 기억도 잘 안날 것 아닙니까 지금 이 대화도.”,,,
80029,2,1001,2000,,100000004,,“자네야 그렇겠지만.. 아마 다른 사람은 아닐 것이거든.”,,,
80030,2,1001,2000,,100000004,,“다른 사람이요? 박사. 그거 아십니까? 가끔..아니 자주 알 수 없는 말을 하십니다.”,,,
80031,2,1001,2000,,100000004,,“내 지금 보다 더 완벽한 결말을 맺을 수 있게 해주겠네. 혹시 다시한번 더 해주겠나?”,,,
80032,2,1001,2000,,100000004,,“네. 알겠습니다.”,,,
80033,2,1001,2000,,100000004,,“오.. 지휘관. 사실 난 좀 당황스러운데.. 사실 당연히 거절 할 줄 알았네.”,,,
80034,2,1001,2000,,100000004,,“전쟁을 거치며 알았습니다. 너무 깊은 상처가 남는 것을 보았습니다. 이 상처를 조금이나마 덜 깊게.. 그렇게 만들어 보고 싶습니다.”,,,
80035,2,1001,2000,,100000004,,“고맙네. 지휘관. 내 새로 약속하지 가장 좋은 결말을 볼 수 있게 만들어 주겠네.”,,,
80036,2,1001,2000,,100000004,,말과 다르게 날 보며 살짝 비릿하게 웃는 박사의 얼굴을 마지막으로 서서히 눈이 감기는 익숙한 느낌이 들었다.,,,
80037,3,1001,2001,,100000004,,“들어오시죠.”,,,
80038,3,1001,2001,,100000004,,전쟁이 끝나고 5년 정도가 지난 어느날 나의 사무실에 슈뢰딩거 박사가 찾아왔다.,,,
80039,3,1001,2001,,100000004,,“지휘관. 그간 잘 지냈는가?”,,,
80040,3,1001,2001,,100000004,,“박사. 반갑습니다. 전쟁이 끝나고 한 5년 만 이군요.”,,,
80041,3,1001,2001,,100000004,,“벌써 그렇게 됐는가? 시간은 참 이상하네. 지휘관.”,,,
80042,3,1001,2001,,100000004,,“박사는 그때 그대로인 것 같습니다.”,,,
80043,3,1001,2001,,100000004,,"“뭐, 나야 연구실에만 사는 사람이니 늙을 일이 있나?”",,,
80044,3,1001,2001,,100000004,,박사는 은은한 미소를 지으며 앉으라는 말을 하기도 전에 쇼파에 앉아 너스레를 떨었다.,,,
80045,3,1001,2001,,100000004,,"“그래서 박사, 이곳에 온 이유가 무엇입니까?”",,,
80046,3,1001,2001,,100000004,,“다른 이유는 없고 자네에게 수고 했다고 말 해주려고 왔지.”,,,
80047,3,1001,2001,,100000004,,박사는 오른손을 내밀고 악수를 청했다.,,,
80048,3,1001,2001,,100000004,,“아뇨. 박사. 난 이것보다 더 나은 미래를 만들 수 없습니다.”,,,
80049,3,1001,2001,,100000004,,"“아하하 지휘관, 뭔가 오해가 있나본데..”",,,
80050,3,1001,2001,,100000004,,“난 더 이상 그 지옥같은 전쟁을 반복하고 싶지 않습니다.”,,,
80051,3,1001,2001,,100000004,,“호.. 이야기를 더 들어볼 수 있는가?”,,,
80052,3,1001,2001,,100000004,,“전쟁은 사람들에게 상처를 남깁니다. 그리고 제가 아무리 선한 선택을 한다고 해도 결국 전 상처를 주는 사람입니다.”,,,
80053,3,1001,2001,,100000004,,“그래서 더는 하고 싶지 않다는 거구만.”,,,
80054,3,1001,2001,,100000004,,“그렇습니다.”,,,
80055,3,1001,2001,,100000004,,“예전에 내 친구가 양자 기술들을 보고 그런 말을 했네. ‘신은 주사위 놀이를 하지 않는다.’ 라고.”,,,
80056,3,1001,2001,,100000004,,“그러나 자네를 보고 그런 생각이 들었네. '아 신은 주사위 놀이는 아니지만 놀이를 하는 구나' 하고.”,,,
80057,3,1001,2001,,100000004,,“그게 무슨 말씀이십니까?”,,,
80058,3,1001,2001,,100000004,,"“이제 내게 필요한 데이터도 다 모였고, 자네도 가장 이상적인 결말을 보았으니.. 이제 신에게서 주사위를 돌려받을 시간이네.”",,,
80059,3,1001,2001,,100000004,,“아직 이해가 되지 않습니다.”,,,
80060,3,1001,2001,,100000004,,“그건그렇고.. 내손을 민망하게 계속 둘 셈인가?”,,,
80061,3,1001,2001,,100000004,,"나는 마지못해 그의 손을 잡았고, 순간 오른쪽 손이 저릿하며 무겁게 느껴지더니 다시 가벼워졌다.”",,,
80062,3,1001,2001,,100000004,,“방금 뭔가..”,,,
80063,3,1001,2001,,100000004,,“그동안 수고 많았네. 지휘관.”,,,
80064,3,1001,2001,,100000004,,“그리고 자네도 수고 많았어.”,,,
80065,3,1001,2001,,100000004,,“자네? 지금 누구에게 말을 한 겁니까?”,,,
80066,3,1001,2001,,100000004,,“있네. 그 너머에 있는.. 자 그럼 난 이만 가보도록 하지. 만나서 반가웠고 두번다시 만나지 말자고 지휘관.”,,,
80067,3,1001,2001,,100000004,,박사는 씨익 웃으며 푸른 빛과 함께 일그러진 공간 속으로 사라졌다.,,,
80068,3,1001,2001,,100000004,,“이제… 모든게 정말 끝났구나.”,,,
80069,3,1001,2001,,100000004,,그가 사라진 곳을 바라보며 쇼파에 몸을 푹 기대며 한숨 쉬었다.,,,
80070,3,1001,2001,,100000004,,..,,,
80071,3,1001,2001,,100000004,,지난 5년간 정말 많은 것이 바뀌었다.,,,
80072,3,1001,2001,,100000004,,먼저 절대 끝나지 않을 것 같았던 전쟁은 프란츠 제국과 연합국의 승리로 끝나게 되었다.,,,
80073,3,1001,2001,,100000004,,"궁지에 몰린 총통은 지하 벙커에서 스스로 생을 마감했고, 지휘체제를 잃은 저메니는 항복하였다.",,,
80074,3,1001,2001,,100000004,,"승리가 임박한 1945년 초, 전후 세계 질서를 논의한 엘타 회담에 의해 찢어진 저메니는 신 강대국이 된 아미리칸과 소린의 손에 동, 서로 나뉘게 되었고 참여한 주축국들이 정한대로 저메니는 재단 되었다.",,,
80075,3,1001,2001,,100000004,,"세계는 더 나은 방향으로 나아가기 위해 식민지들을 독립 시켰고, 전쟁으로 입은 상처를 치료하기 위해 노력했다.",,,
80076,3,1001,2001,,100000004,,"나는 전쟁 영웅이란 명칭과 함께 국민들의 지지를 받고, 병사들의 존경을 받게 되었다.",,,
80077,3,1001,2001,,100000004,,그 덕분에 전쟁이 끝난 이듬해인 1946년 군무부 총리로 정계진출과 공작의 작위를 수여 받으며 꽤나 파격적인 인사로 이름을 날리게 되었다.,,,
80078,3,1001,2001,,100000004,,"1948년, 나는 전쟁으로 상처받은 국민들을 치유하기 위해 난민과 피해입은 도시들을 지원하는 사업을 하기 시작했다.",,,
80079,3,1001,2001,,100000004,,이 것으로 조금이라도 많은 사람들이 치유되길 바라는 마음으로 프란츠 주도의 국가 사업으로 이웃 국가로 점점 퍼져나갔다.,,,
80080,3,1001,2001,,100000004,,"그리고 오늘 1950년, 어느날.",,,
80081,3,1001,2001,,100000004,,드디어 길고 길었던 나의 전쟁은 슈뢰딩거 박사와의 마지막 대면으로 끝을 내게 되었다.,,,
80082,3,1001,2001,,100000004,,다시는 경험할 수 없는. 아니 하기 싫은 모든 사건이 막을 내린다.,,,
80083,3,1001,2001,,100000004,,과연 다른 ‘지휘관’들의 전쟁은 끝났을까..,,,
80084,3,1001,2001,,100000004,,그건 이제 와서 알 수 없는 것이다.,,,
80085,3,1001,2001,,100000004,,신만이 알고 있겠지.,,,
